JD,X,Y,Z,VX,VY,VZ
2460870.60000000,8.9015891861785171e-02,-4.0741541266541779e+00,2.6997548228428647e-01,-1.3852460461874900e-02,3.2739563425484806e-02,-1.4837461451719931e-03
2460870.70000000,8.7630643861433877e-02,-4.0708800816780411e+00,2.6982710180182551e-01,-1.3852498815231725e-02,3.2741335052559779e-02,-1.4838634717127814e-03
2460870.80000000,8.6245392057700154e-02,-4.0676058594103663e+00,2.6967870957636347e-01,-1.3852536658093545e-02,3.2743109562208050e-02,-1.4839810191049519e-03
2460870.90000000,8.4860136488864535e-02,-4.0643314595320685e+00,2.6953030558440394e-01,-1.3852573987814254e-02,3.2744886961086773e-02,-1.4840987879352167e-03
2460871.00000000,8.3474877212824608e-02,-4.0610568817691410e+00,2.6938188980446465e-01,-1.3852610801734373e-02,3.2746667255847225e-02,-1.4842167787905908e-03
2460871.10000000,8.2089614281293868e-02,-4.0577821258316593e+00,2.6923346221431382e-01,-1.3852647097181679e-02,3.2748450453167918e-02,-1.4843349922605889e-03
2460871.20000000,8.0704347746253763e-02,-4.0545071914290363e+00,2.6908502279166047e-01,-1.3852682871470973e-02,3.2750236559746418e-02,-1.4844534289366854e-03
2460871.30000000,7.9319077666405613e-02,-4.0512320782852598e+00,2.6893657151484540e-01,-1.3852718121903839e-02,3.2752025582291018e-02,-1.4845720894117705e-03
2460871.40000000,7.7933804081369157e-02,-4.0479567860778936e+00,2.6878810836007649e-01,-1.3852752845769230e-02,3.2753817527554192e-02,-1.4846909742823676e-03
2460871.50000000,7.6548527050387921e-02,-4.0446813145295790e+00,2.6863963330557561e-01,-1.3852787040342424e-02,3.2755612402282627e-02,-1.4848100841453264e-03
2460871.60000000,7.5163246626527916e-02,-4.0414056633470334e+00,2.6849114632881355e-01,-1.3852820702885606e-02,3.2757410213250585e-02,-1.4849294196000401e-03
2460871.70000000,7.3777962863129598e-02,-4.0381298322362893e+00,2.6834264740720104e-01,-1.3852853830647634e-02,3.2759210967251692e-02,-1.4850489812478992e-03
2460871.80000000,7.2392675820259947e-02,-4.0348538209179630e+00,2.6819413651878032e-01,-1.3852886420863833e-02,3.2761014671090598e-02,-1.4851687696917440e-03
2460871.90000000,7.1007385538910797e-02,-4.0315776290662129e+00,2.6804561363945828e-01,-1.3852918470756511e-02,3.2762821331616551e-02,-1.4852887855381016e-03
2460872.00000000,6.9622092079704767e-02,-4.0283012564002885e+00,2.6789707874715596e-01,-1.3852949977533984e-02,3.2764630955673182e-02,-1.4854090293938489e-03
2460872.10000000,6.8236795497093480e-02,-4.0250247026234920e+00,2.6774853181904185e-01,-1.3852980938391124e-02,3.2766443550132092e-02,-1.4855295018684500e-03
2460872.20000000,6.6851495845809850e-02,-4.0217479674384373e+00,2.6759997283222364e-01,-1.3853011350509122e-02,3.2768259121884503e-02,-1.4856502035734069e-03
2460872.30000000,6.5466193187320068e-02,-4.0184710505623116e+00,2.6745140176443949e-01,-1.3853041211055290e-02,3.2770077677832896e-02,-1.4857711351217036e-03
2460872.40000000,6.4080887564021916e-02,-4.0151939516658270e+00,2.6730281859129046e-01,-1.3853070517183536e-02,3.2771899224924919e-02,-1.4858922971300677e-03
